"key","uk","en"
"meta.title","Aprendo palabras - розширення Chrome","Aprendo palabras - Chrome extension"
"meta.description","Aprendo palabras допомагає створювати власні словникові картки, повторювати слова й закріплювати їх у пам'яті.","Aprendo palabras helps you create personal vocabulary cards, review words, and gradually remember them."
"language.aria","Мова інтерфейсу","Interface language"
"language.uk","Укр","Укр"
"language.en","Eng","Eng"
"nav.aria","Основна навігація","Main navigation"
"nav.benefits","Переваги","Benefits"
"nav.features","Можливості","Features"
"nav.howItWorks","Як працює","How it works"
"nav.install","Встановити","Install"
"hero.badge","Chrome extension для власного словника","Chrome extension for your personal vocabulary"
"hero.title.1","Вивчай іноземні","Learn foreign"
"hero.title.2","слова прямо","words right"
"hero.title.3","у браузері","in your browser"
"hero.lead","Aprendo palabras допомагає створювати власні словникові картки, повторювати слова й поступово закріплювати їх у пам'яті.","Aprendo palabras helps you create personal vocabulary cards, review words, and gradually commit them to memory."
"hero.primaryCta","Встановити з Chrome Web Store","Install from Chrome Web Store"
"hero.secondaryCta","Як це працює","How it works"
"hero.previewAria","Попередній вигляд Aprendo palabras","Aprendo palabras preview"
"hero.modesAria","Режими","Modes"
"hero.learningMode","Вивчення","Learning"
"hero.reviewMode","Повтор","Review"
"benefits.kicker","Переваги","Benefits"
"benefits.title","Наші переваги","Why it helps"
"benefits.lead","Усе продумано так, щоб додавати й повторювати слова було легко з першого дня.","Everything is designed to make adding and reviewing words easy from day one."
"benefits.simpleTitle","Простий інтерфейс","Simple interface"
"benefits.simpleText","Усі основні функції під рукою: додавання карток, режими вивчення та повторення без складних налаштувань.","The essentials are always close at hand: adding cards, learning modes, and review without complicated setup."
"benefits.contextTitle","Додавання слів із сайтів","Add words from websites"
"benefits.contextText","Виділіть слово або фразу на сторінці, відкрийте контекстне меню й одразу створіть нову картку.","Select a word or phrase on a page, open the context menu, and create a new card right away."
"benefits.copy","Копіювати","Copy"
"benefits.createCard","Створити картку — Aprendo Palabras","Create card — Aprendo Palabras"
"benefits.googleSearch","Пошук у Google","Search with Google"
"benefits.easyTitle","Без зайвого клопоту","No extra hassle"
"benefits.easyText","Без логінів, без реклами, без складного старту — просто встановіть розширення і починайте користуватися.","No logins, no ads, no complicated start — just install the extension and begin."
"features.kicker","Можливості","Features"
"features.title","Усе потрібне для простих словникових карток","Everything you need for simple vocabulary cards"
"features.item.1.title","Створення власних карток","Create your own cards"
"features.item.1.text","Вводиш слово, переклад, тег і додаткові позначки.","Add a word, translation, tag, and extra notes."
"features.item.2.title","Режими вивчення","Learning modes"
"features.item.2.text","Обирай етапи для нових, знайомих і вже вивчених слів.","Choose stages for new, familiar, and already learned words."
"features.item.3.title","Повтор уже знайомих слів","Review familiar words"
"features.item.3.text","Повертаєшся до уроків, які не хочеться втратити з пам'яті.","Return to lessons you do not want to lose from memory."
"features.item.4.title","Імпорт CSV","CSV import"
"features.item.4.text","Можна завантажити готовий список слів у потрібному форматі.","Upload a ready-made word list in the format you need."
"features.item.5.title","Робота у Chrome","Works in Chrome"
"features.item.5.text","Додаток відкривається прямо в браузері, без окремої програми.","The app opens right in your browser, without a separate program."
"features.item.6.title","Двомовний інтерфейс","Bilingual interface"
"features.item.6.text","Перемикайся між українською та англійською мовами інтерфейсу.","Switch the interface between Ukrainian and English."
"steps.kicker","Як працює","How it works"
"steps.title","Три кроки — і словник уже з тобою","Three steps — and your vocabulary is with you"
"steps.item.1.title","Додай картки","Add cards"
"steps.item.1.text","Наповни словник іноземними словами з перекладом, примітками та тегом.","Fill your vocabulary with foreign words, translations, notes, and tags."
"steps.item.2.title","Обирай слова для вивчення","Choose words to learn"
"steps.item.2.text","Перенеси обрані слова в режим Вивчення і повторюй їх для запам’ятовування.","Move selected words into Learning mode and review them to remember them."
"steps.item.3.title","Збирай словник","Build your vocabulary"
"steps.item.3.text","Переміщуй вивчені слова в категорію ""Знаю"", створюючи свій особистий лексикон.","Move learned words into the ""Known"" category as you grow your personal lexicon."
"cta.title","Спробуй Aprendo palabras у своєму браузері","Try Aprendo palabras in your browser"
"cta.text","Додай розширення в Chrome і почни збирати власний словник уже сьогодні.","Add the extension to Chrome and start building your own vocabulary today."
"cta.button","Встановити з Chrome Web Store","Install from Chrome Web Store"
"footer.meta","Макет лендінгу • HTML • PNG-прев'ю","Landing design mockup • HTML • PNG preview"
"backToTop.aria","Повернутися нагору","Back to top"
